Timesteps,MAPPO (ƛ = 0),MAPPO (ƛ = 0.05),MAPPO (ƛ = 0.10),MAPPO (ƛ = 0) (std),MAPPO (ƛ = 0.05) (std),MAPPO (ƛ = 0.10) (std)
250000,6.734375,8.3125,8.5625,1.5021223967145745,2.1212296869069567,2.179659024145397
260000,6.078125,7.625,7.375,1.512002510761168,2.145400234278482,2.182985267812676
270000,6.671875,9.125,6.9375,1.5462051285925313,2.245291958484682,2.1685676851841333
280000,6.78125,11.4375,8.625,1.5787488326449821,2.495512444043184,2.221563599716697
290000,5.953125,8.8125,7.5625,1.5728287386457285,2.5318339577577307,2.2205164370313586
300000,6.734375,10.1875,7.6875,1.4976897356498216,2.523421180465717,2.1042011633680713
310000,7.4375,10.25,8.8125,1.4572859025832285,2.5007721508715495,2.0319334614977005
320000,6.84375,9.375,9.25,1.4245752826689708,2.479250276287424,2.063077897095203
330000,7.171875,9.1875,9,1.3727541129480034,2.466278498795441,2.016144652562776
340000,7.078125,10.5,8.5625,1.3147141328697216,2.454342416086701,1.938448739
350000,7.671875,10.625,8.8125,1.2943506018863078,2.4023315796696694,1.850044656186727
360000,7.03125,10.4375,9,1.2476775524446533,2.364967657004672,1.7455827358345652
370000,8.015625,11.4375,8.25,1.2042481276263302,2.366668121154646,1.6253094311934713
380000,8.140625,10.75,7.5,1.2031225509379457,2.337599689004619,1.4704280888121746
390000,8.3125,9.625,9.25,1.1876995493634697,2.2658881882408064,1.4566595484978273
400000,8.03125,13.0625,9.1875,1.1468299528799188,2.3692042106905924,1.421869671267017
410000,8.5,9.8125,11,1.1510846149084257,2.277293944209518,1.3359612886065158
420000,8.640625,11.4375,9.5625,1.1711336256419227,2.3021660605617287,1.3663258265757208
430000,8.5625,10.5,9.875,1.1494851030592663,2.1887988754660372,1.335213293908466
440000,8.65625,13.25,10.375,1.1673897643030664,2.247433282159591,1.3578872407606977
450000,9.609375,12.8125,9.5625,1.2299543231125485,2.215111047785866,1.3528270341013349
460000,9.53125,13.25,10.1875,1.2623786545829645,2.119572387271798,1.3727531930478258
470000,9.390625,11.1875,11.3125,1.3145134776487684,2.0581753249185213,1.4550265259066475
480000,8.921875,14.0625,11.75,1.3149372724702917,2.0162381841513413,1.4050146233950864
490000,9.578125,11.9375,9.875,1.335217182042676,1.9482587366376856,1.3743810649822061
500000,9.1875,11.8125,10.125,1.281605313,1.911282104140885,1.357498663765991
510000,9.3125,10.625,12.5,1.2283301492471688,1.8228930622445532,1.435834242
520000,9.46875,12.375,12.6875,1.2288627969780428,1.7180530196012391,1.4671771047181765
530000,10.1875,10.375,12.1875,1.2415143910232453,1.6645334768043314,1.531136372748698
540000,10.21875,12.25,13.375,1.240737164325106,1.566189609287904,1.6745592575052606
550000,9.953125,13.25,12.6875,1.2533460289994818,1.5462459173047567,1.7518770721320853
560000,10.265625,13.0625,11.25,1.235517871731745,1.4469315159265934,1.7121785292696479
570000,10.0625,12,10.8125,1.2274826216961683,1.3972613427907794,1.6256077554910549
580000,9.890625,13.4375,11.125,1.2077384630510488,1.4496472643688103,1.6156339277527474
590000,10.015625,12.375,12.25,1.1241996324796557,1.375267737778624,1.587776867430418
600000,10.296875,13.875,12.6875,1.0919218352386044,1.4172914232606848,1.5707183294283942
610000,11.140625,12.4375,12.4375,1.133374996593055,1.3999435538703018,1.5816229229504506
620000,10.3125,12.8125,12.6875,1.0827178636847012,1.3422179518142485,1.6086377831076235
630000,11.421875,13,11.875,1.0989516090386466,1.2626230451021443,1.5917294776076396
640000,10.984375,12,12.1875,1.0639864517653599,1.2327400328154232,1.5564913202087225
650000,11.046875,13.5625,11.875,1.055865867,1.2367563509243638,1.5161797998076822
660000,11.390625,11.75,12.875,1.0046068733178155,1.1987781135461497,1.5066021491819197
670000,10.078125,11.5,11.9375,0.9595334950417588,1.197573351603687,1.4126824467665549
680000,11.6875,11.8125,12.125,0.9786290634096317,1.1704653878427824,1.2320259457635327
690000,11.421875,13.0625,12.25,0.9779155138584236,1.0767281785122569,1.1728795981362217
700000,11.9375,14.6875,13.8125,0.9770542583688531,1.1549824132860307,1.1640647299022286
710000,11.390625,14.75,12.5625,0.9607386808384525,1.1334373895773762,1.1693082522556464
720000,11.890625,12.25,14.4375,0.9676399136633334,1.1165491178050733,1.201219522201207
730000,11.59375,12.75,11.4375,0.9421555858713153,1.0486140449325994,1.1449068877464452
740000,12.265625,12.5,11.75,0.9473360033919188,1.041757898,1.1083457565633619
750000,12.203125,12,12.6875,0.982671481,1.0462027670987495,1.0190710216302374
760000,11.765625,12.0625,14.0625,0.9860347369714642,1.0415854853423625,1.0193441518937858
770000,11.265625,13.0625,12.9375,0.9630912080006638,1.0148612844739722,1.0144077032957752
780000,12.21875,12.3125,12.6875,0.94041468,0.976347893,1.0131786961846176
790000,11.6875,13.3125,13.75,0.9234428636044418,0.9801848765622748,0.94139755
800000,12.421875,13,13.0625,0.907036328,0.9725396307263553,0.8441290655524255
810000,12.296875,13.125,11.625,0.8795863229366093,0.9012284081619834,0.8591127473409669
820000,12.625,14.125,13.375,0.8673205700687534,0.9359901635203852,0.8741298012782912
830000,11.53125,15.4375,13.1875,0.8478183896984893,0.9493007294846133,0.8810877102541984
840000,12.265625,14,13.5,0.8449300297175826,0.9604915415748333,0.885520193
850000,12.140625,12.8125,11.75,0.8176610302776129,0.9595257449242476,0.8962926515605523
860000,12.859375,13.5,14.25,0.8323417569587489,0.9644102368209679,0.9190864092055083
870000,12.03125,14.6875,13.8125,0.7942575547693658,0.9948592720904722,0.8802796381715191
880000,12.078125,12.5625,11.1875,0.7362981894563632,0.9964376202424815,0.8764893933238813
890000,13.265625,13.9375,13.6875,0.7328814829490461,1.0014379926690098,0.8901096890949793
900000,12.734375,13.375,12.75,0.7045585243046053,0.9920322843340007,0.8900314996686185
910000,12.71875,15.375,14.25,0.7126183041025391,1.0691265636936615,0.9286217540360757
920000,12.375,14.3125,13.0625,0.656336372,1.0867210514562489,0.9294047038014971
